0	5335	0.147713103	0.004782099	0	0	0	0
1	5336	0.147713103	0.004482220	0	0	0	0
2	5337	0.147518965	0.004585268	0	0	0	0
3	5338	0.146688367	0.002062832	0	0	0	0
4	5339	0.149649359	0.000491144	0	0	0	0
5	5340	0.149649359	0.000259349	0	0	0	0
6	5341	0.146094509	0.000259349	0	0	0	0
7	5342	0.146009110	0.000000000	0	0	0	0
8	5343	0.150000000	0.000000000	0	0	0	0
9	5344	0.150000000	0.004749337	0	0	0	0
10	5345	0.148100650	0.008736442	0	0	0	0
11	5346	0.147713103	0.008667057	0	0	0	0
12	5347	0.150000000	0.008423517	0	0	0	0
13	5348	0.150000000	0.009618682	0	0	0	0
14	5349	0.149736694	0.016574238	0	0	0	0
15	5350	0.149736694	0.016521514	0	0	0	0
16	5351	0.149719891	0.016570977	0	0	0	0
17	5352	0.146304830	0.015908330	0	0	0	0
18	5353	0.145058139	0.014998654	0	0	0	0
19	5354	0.147536109	0.014335779	0	0	0	0
20	5355	0.147713103	0.014206363	0	0	0	0
21	5356	0.150000000	0.016625329	0	0	0	0
22	5357	0.149736694	0.026055089	0	0	0	0
23	5358	0.150000000	0.025904252	0	0	0	0
24	5359	0.149743455	0.034185495	0	0	0	0
25	5360	0.148475985	0.034044016	0	0	0	0
26	5361	0.149119350	0.033526488	0	0	0	0
27	5362	0.146543448	0.030206056	0	0	0	0
28	5363	0.146677158	0.029308904	0	0	0	0
29	5364	0.146702333	0.029269960	0	0	0	0
30	5365	0.149736694	0.033181365	0	0	0	0
31	5366	0.150000000	0.034180502	0	0	0	0
32	5367	0.149169071	0.040350700	0	0	0	0
33	5368	0.150000000	0.040493180	0	0	0	0
34	5369	0.149694576	0.047342457	0	0	0	0
35	5370	0.149694576	0.047003344	0	0	0	0
36	5371	0.148300253	0.046222848	0	0	0	0
37	5372	0.147331562	0.042390189	0	0	0	0
38	5373	0.148801025	0.041183636	0	0	0	0
39	5374	0.148801025	0.040385843	0	0	0	0
40	5375	0.150000000	0.047347422	0	0	0	0
41	5376	0.149591585	0.058769762	0	0	0	0
42	5377	0.149591585	0.052541251	0	0	0	0
43	5378	0.142335460	0.051610802	0	0	0	0
44	5379	0.142450266	0.050933607	0	0	0	0
45	5380	0.149694576	0.051862541	0	0	0	0
46	5381	0.150000000	0.058746497	0	0	0	0
47	5382	0.149506143	0.069691827	0	0	0	0
48	5383	0.149506143	0.062036497	0	0	0	0
49	5384	0.144921400	0.063266156	0	0	0	0
50	5385	0.144864239	0.062307149	0	0	0	0
51	5386	0.149591585	0.061039243	0	0	0	0
52	5387	0.150000000	0.069699667	0	0	0	0
53	5388	0.149173187	0.080313022	0	0	0	0
54	5389	0.149173187	0.075747163	0	0	0	0
55	5390	0.146947583	0.074109768	0	0	0	0
56	5391	0.147367821	0.072870712	0	0	0	0
57	5392	0.149506143	0.074443893	0	0	0	0
58	5393	0.150000000	0.080640406	0	0	0	0
59	5394	0.149510165	0.092397417	0	0	0	0
60	5395	0.149510165	0.088060786	0	0	0	0
61	5396	0.144918822	0.085529590	0	0	0	0
62	5397	0.145573221	0.084436183	0	0	0	0
63	5398	0.149173187	0.086420836	0	0	0	0
64	5399	0.150000000	0.092491216	0	0	0	0
65	5400	0.149513337	0.103313499	0	0	0	0
66	5401	0.149513337	0.097200790	0	0	0	0
67	5402	0.141020792	0.098539000	0	0	0	0
68	5403	0.140766034	0.097639907	0	0	0	0
69	5404	0.149510165	0.096262053	0	0	0	0
70	5405	0.150000000	0.103233363	0	0	0	0
71	5406	0.149630143	0.116126878	0	0	0	0
72	5407	0.149342907	0.115865790	0	0	0	0
73	5408	0.149342907	0.108507680	0	0	0	0
74	5409	0.144998305	0.111916701	0	0	0	0
75	5410	0.144199967	0.111191040	0	0	0	0
76	5411	0.149513337	0.107021868	0	0	0	0
77	5412	0.150000000	0.115978411	0	0	0	0
78	5413	0.149542604	0.126716724	0	0	0	0
79	5414	0.149542604	0.121595032	0	0	0	0
80	5415	0.147577771	0.121946890	0	0	0	0
81	5416	0.146893117	0.120065797	0	0	0	0
82	5417	0.149342907	0.119627094	0	0	0	0
83	5418	0.149342907	0.116282557	0	0	0	0
84	5419	0.150000000	0.126758467	0	0	0	0
85	5420	0.149242826	0.131747128	0	0	0	0
86	5421	0.146825697	0.128772936	0	0	0	0
87	5422	0.147763577	0.127743382	0	0	0	0
88	5423	0.148211676	0.129961320	0	0	0	0
89	5424	0.149542604	0.130417702	0	0	0	0
90	5425	0.150000000	0.131681655	0	0	0	0
91	5426	0.148553440	0.132586913	0	0	0	0
92	5427	0.148582998	0.132406235	0	0	0	0
93	5428	0.150000000	0.133623138	0	0	0	0
94	5429	0.148361097	0.133132418	0	0	0	0
95	5430	0.150000000	0.134488154	0	0	0	0
96	5431	0.148490460	0.136321028	0	0	0	0
97	5432	0.148490460	0.134089507	0	0	0	0
98	5433	0.147646999	0.133800280	0	0	0	0
99	5434	0.150000000	0.136224343	0	0	0	0
100	5435	0.147302352	0.139945098	0	0	0	0
101	5436	0.146737865	0.139792615	0	0	0	0
102	5437	0.146502463	0.138798717	0	0	0	0
103	5438	0.148490460	0.139406376	0	0	0	0
104	5439	0.150000000	0.139336278	0	0	0	0
105	5440	0.149486121	0.141809332	0	0	0	0
106	5441	0.150000000	0.141848557	0	0	0	0
107	5442	0.147282425	0.145211926	0	0	0	0
108	5443	0.147282425	0.143858102	0	0	0	0
109	5444	0.150000000	0.143297116	0	0	0	0
110	5445	0.149959102	0.146884982	0	0	0	0
111	5446	0.147282425	0.146249184	0	0	0	0
112	5447	0.150000000	0.146889117	0	0	0	0
113	5448	0.148749789	0.150000000	0	0	0	0
114	5449	0.150000000	0.150000000	0	0	0	0
115	5450	0.144014436	0.148708662	0	0	0	0
116	5451	0.147282425	0.148708662	0	0	0	0
117	5452	0.144048538	0.150000000	0	0	0	0
118	5453	0.136660092	0.148708662	0	0	0	0
119	5454	0.136523512	0.150000000	0	0	0	0
120	5455	0.133687009	0.148708662	0	0	0	0
121	5456	0.133089719	0.150000000	0	0	0	0
122	5457	0.131712247	0.148708662	0	0	0	0
123	5458	0.131542798	0.150000000	0	0	0	0
124	5459	0.128294459	0.148115488	0	0	0	0
125	5460	0.129412756	0.146035353	0	0	0	0
126	5461	0.129946503	0.145564570	0	0	0	0
